"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL7927";"FAUC 113";"None";"326.83";"0";"3.31";"FAUC 113";"Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1";"Ki";"'='";"4300.0";"nM";"5.37";"";"";"UO_0000065";"16.42";"0.32";"2.06";"22.57";"1";"CHEMBL866800";"Displacement of [3H]spiperone from human dopamine receptor D2(short) in CHO cell membrane";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138042";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3308072";"";"";"";"4300.0"
"CHEMBL1078207";"";"None";"458.59";"0";"4.48";"24";"O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(-c2ccccc2)cc1";"Ki";"'='";"630.96";"nM";"6.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1108513";"Agonist activity at dopamine D2 receptor";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154336";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"6.2"
"CHEMBL231546";"";"None";"505.87";"2";"5.60";"21";"CN1CCc2cc(Br)c(NS(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)cc2CC1";"Ki";"'='";"63.1";"nM";"7.20";"";"";"UO_0000065";"14.23";"0.33";"1.60";"14.57";"0";"CHEMBL905981";"Displacement of [125I]iodosulpiride from human recombinant dopamine D2 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143778";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";"";"-7.2"
"CHEMBL231431";"";"None";"444.96";"0";"4.98";"13";"CN1CCc2ccc(NS(=O)(=O)c3ccc(-c4ccc(F)c(Cl)c4)cc3)cc2CC1";"Ki";"'='";"50.12";"nM";"7.30";"";"";"UO_0000065";"16.41";"0.33";"2.32";"14.77";"0";"CHEMBL905981";"Displacement of [125I]iodosulpiride from human recombinant dopamine D2 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143778";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";"";"-7.3"
"CHEMBL231333";"";"None";"358.51";"0";"3.82";"9";"CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)CC3)cc1";"Ki";"'='";"398.11";"nM";"6.40";"";"";"UO_0000065";"17.85";"0.35";"2.58";"12.95";"0";"CHEMBL905981";"Displacement of [125I]iodosulpiride from human recombinant dopamine D2 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143778";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";"";"-6.4"
"CHEMBL284092";"GEPIRONE";"4.0";"359.47";"0";"1.55";"98";"CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1";"Ki";"'='";"4320.0";"nM";"5.37";"";"";"UO_0000065";"14.92";"0.28";"3.81";"7.70";"0";"CHEMBL4037101";"Displacement of [3H]methylspiperone from human D2 receptor expressed in HEK cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033775";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";"";"4320.0"
"CHEMBL5882179";"";"None";"492.57";"0";"4.49";"BDBM382174";"Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3CCN(c4ccc(C(F)(F)F)cc4)[C@@H]3C2)n1C";"Ki";"'='";"138.0";"nM";"6.86";"";"764559";"UO_0000065";"13.93";"0.28";"2.37";"10.85";"0";"CHEMBL5733628";"Functional Calcium Assay: Functional Calcium Assay at hD2 recombinant receptor. CHO cells stably expressing human dopamine receptor type 2, long variant (hD2L), coupled to Gα16 protein (CHO-Gα16-hD2L) were seeded into black walled clear-base 384-well plates at a density of 8,000 cells per well and grown overnight at 37° C. After washing with the assay buffer (20 mM HEPES, 145 mM NaCl, 5 mM KCl, 5.5 mM glucose, 1 mM MgCl2 and 2 mM CaCl2, pH 7.4) containing 2.5 mM Probenecid, cells were incubated with the cytoplasmic Ca2+ probe Fluo-4 AM at 1 μM (final concentration), 37° C. for 60 min. Plates were washed three times as above and placed into a Fluorometric Imaging Plate Reader (FLIPR Tetra, Molecular Devices) to monitor cell fluorescence (ex=470-495 nm, em=515-575 nm) before and after the addition of different concentrations of test compounds. Compounds of invention were dissolved in DMSO and 200-fold diluted with assay buffer plus 0.01% Pluronic F-127. Cells were exposed first to test compounds for 10 min, then to a submaximal concentration of the hD2 receptor agonist dopamine (EC80, 50-140 nM). The fluorescence before compound addition (baseline) and before and after addition of agonist challenge was monitored. The peak of Ca2+ stimulation (baseline subtracted) was plotted versus the concentration of test compound and the curve fitted using a four-parameter logistic equation (XLfit) to assess the agonist/antagonist potency and maximal response.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726886";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"138.0"
"CHEMBL5915400";"";"None";"449.58";"0";"3.34";"BDBM382178";"Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3CCN(c4cccc(C#N)c4)[C@@H]3C2)n1C";"Ki";"'='";"2.19";"nM";"8.66";"";"764565";"UO_0000065";"19.26";"0.37";"5.32";"9.95";"0";"CHEMBL5733628";"Functional Calcium Assay: Functional Calcium Assay at hD2 recombinant receptor. CHO cells stably expressing human dopamine receptor type 2, long variant (hD2L), coupled to Gα16 protein (CHO-Gα16-hD2L) were seeded into black walled clear-base 384-well plates at a density of 8,000 cells per well and grown overnight at 37° C. After washing with the assay buffer (20 mM HEPES, 145 mM NaCl, 5 mM KCl, 5.5 mM glucose, 1 mM MgCl2 and 2 mM CaCl2, pH 7.4) containing 2.5 mM Probenecid, cells were incubated with the cytoplasmic Ca2+ probe Fluo-4 AM at 1 μM (final concentration), 37° C. for 60 min. Plates were washed three times as above and placed into a Fluorometric Imaging Plate Reader (FLIPR Tetra, Molecular Devices) to monitor cell fluorescence (ex=470-495 nm, em=515-575 nm) before and after the addition of different concentrations of test compounds. Compounds of invention were dissolved in DMSO and 200-fold diluted with assay buffer plus 0.01% Pluronic F-127. Cells were exposed first to test compounds for 10 min, then to a submaximal concentration of the hD2 receptor agonist dopamine (EC80, 50-140 nM). The fluorescence before compound addition (baseline) and before and after addition of agonist challenge was monitored. The peak of Ca2+ stimulation (baseline subtracted) was plotted versus the concentration of test compound and the curve fitted using a four-parameter logistic equation (XLfit) to assess the agonist/antagonist potency and maximal response.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726886";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"2.19"
"CHEMBL54";"HALOPERIDOL";"4.0";"375.87";"0";"4.43";"SID26747061";"O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1";"Ki";"'='";"0.6026";"nM";"9.22";"";"";"UO_0000065";"24.53";"0.48";"4.79";"22.74";"1";"CHEMBL923071";"Displacement of [3H]spiperone human cloned dopamine D2 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140677";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"-9.22"
"CHEMBL366265";"ETOLOXAMINE";"2.0";"283.42";"0";"4.00";"8";"CCN(CC)CCOc1ccccc1Cc1ccccc1";"Ki";"'='";"2024.0";"nM";"5.69";"";"";"UO_0000065";"20.09";"0.37";"1.69";"45.66";"0";"CHEMBL838569";"Binding affinity for human recombinant dopamine receptor D2L";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"D(2) dopamine receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138672";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"2024.0"
