curated_smiles,receptor,pChEMBL,molecule_chembl_id
,5HT1A,4.522878745280337,CHEMBL503160
,5HT2A,4.522878745280337,CHEMBL503160
,D2,4.522878745280337,CHEMBL503160
,Delta,4.522878745280337,CHEMBL503160
,H1,4.522878745280337,CHEMBL503160
BrCC[Se]c1ccccc1,Kappa,4.823908740944319,CHEMBL158014
Brc1c(NC2=NCCN2)ccc2nccnc12,5HT1A,5.301029995663981,CHEMBL844
Brc1c(NC2=NCCN2)ccc2nccnc12,5HT2A,4.522878745280337,CHEMBL844
Brc1c(NC2=NCCN2)ccc2nccnc12,D2,4.522878745280337,CHEMBL844
Brc1c(NC2=NCCN2)ccc2nccnc12,Delta,4.522878745280337,CHEMBL844
Brc1c(NC2=NCCN2)ccc2nccnc12,H1,4.522878745280337,CHEMBL844
Brc1ccc(C2=NNC(c3ccc(N4CCCCC4)cc3)C2)s1,Kappa,4.667561540084395,CHEMBL2238298
Brc1ccc(CNCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,D2,5.2839966563652006,CHEMBL3622101
Brc1ccc(CNc2ccc3c(c2)[C@H]2c4cc(NCc5ccc(Br)cc5)ccc4[C@H](C3)N3CCC[C@@H]23)cc1,Delta,5.275724130399211,CHEMBL3707076
Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,Delta,4.494850021680094,CHEMBL1311570
Brc1ccc(CSc2nnc(-c3ccccn3)n2Cc2cccs2)cc1,Delta,4.494850021680094,CHEMBL1733721
Brc1ccc(N2CCN(Cc3ccccc3)CC2)c2cc[nH]c12,D2,7.327902142064282,CHEMBL90476
Brc1ccc(N2CCNCC2)c2ccccc12,5HT6,7.267606240177031,CHEMBL180298
Brc1ccc(NC2=NCc3c([nH]c4ccccc34)S2)cc1,Kappa,5.0,CHEMBL2442563
Brc1ccc(NC2=Nc3ccccc3CC2)cc1,Delta,4.033693970700339,CHEMBL1345947
Brc1ccc(NCCN2CCN(CCc3c[nH]c4ccccc34)CC2)cc1,D2,7.297241446511812,CHEMBL3622097
Brc1ccc(NCCN2CCN(Cc3cc4ccccc4[nH]3)CC2)cc1,D2,6.036212172654444,CHEMBL3622093
Brc1ccc(OCC2CCN(CC3CC3)CC2)cc1,D2,5.0,CHEMBL46880
Brc1ccc(OCCc2ccccc2)c(OC2CNC2)c1,5HT6,7.568636235841012,CHEMBL5801143
Brc1ccc(Oc2ccccc2)c(OC2CNC2)c1,5HT6,7.337242168318426,CHEMBL5849435
Brc1ccc2[nH]cc(CCCN3CCN(CCCc4c[nH]c5ccc(Br)cc45)CC3)c2c1,5HT1A,5.920818753952375,CHEMBL3092350
Brc1ccc2[nH]cc(CCCN3CCN(CCCc4c[nH]c5ccccc45)CC3)c2c1,5HT1A,7.823908740944319,CHEMBL3092351
Brc1ccc2[nH]nc(C3=CCCNC3)c2c1,5HT2A,6.723538195826755,CHEMBL5424175
Brc1ccc2c(c1)C1CN(Cc3ccccc3)CC1CO2,D2,6.799993270267818,CHEMBL418321
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(-c5ccccc5)cc43)C[C@H]1c1ccccc1O2,5HT2A,6.512861624522813,CHEMBL194442
Brc1ccc2c(c1)[C@H]1O[C@H](Cn3oc4ccc(CN5CCOCC5)cc43)C[C@H]1c1ccccc1O2,5HT2A,6.723538195826755,CHEMBL381000
