molecule_chembl_id,canonical_smiles,standard_type,standard_value,pChEMBL,receptor,target_id
CHEMBL303519,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,IC50,9800.0,5.008773924307505,D2,CHEMBL217
CHEMBL292943,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,IC50,50.0,7.301029995663981,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.067,10.173925197299171,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,190.0,6.721246399047171,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.196,9.707743928643524,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,260.0,6.585026652029182,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.05,10.30102999566398,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,188.0,6.72584215073632,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.09,10.045757490560677,D2,CHEMBL217
CHEMBL156651,NC(=O)[C@H]1CS[C@@H]2CC[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,211.0,6.675717544702307,D2,CHEMBL217
CHEMBL349833,CC1Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,Ki,139.0,6.856985199745905,D2,CHEMBL217
CHEMBL439646,CC1(C)Cc2cccc3c2N1C(=O)C(N1CCN(Cc2ccc(Cl)cc2)CC1)CC3,Ki,201.0,6.696803942579511,D2,CHEMBL217
CHEMBL87187,Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,Ki,11.0,7.958607314841775,D2,CHEMBL217
CHEMBL351963,Cc1ccc(CN2CCN(C3CCc4cccc5c4N(CC5)C3=O)CC2)cc1,Ki,209.0,6.679853713888946,D2,CHEMBL217
CHEMBL309118,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,Ki,512.0,6.290730039024169,D2,CHEMBL217
CHEMBL129634,C=CCN1CCc2c(cc(O)c(O)c2F)C(c2ccc(O)cc2)C1.CS(=O)(=O)O,EC50,137.0,6.863279432843593,D2,CHEMBL217
CHEMBL315864,Oc1nc2c(N3CCN(Cc4ccccc4)CC3)cccc2[nH]1,Ki,87.3,7.058985756294431,D2,CHEMBL217
CHEMBL61682,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,IC50,25.0,7.602059991327962,D2,CHEMBL217
CHEMBL322179,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c1-c1ccccc1C2=O,Ki,777.0,6.1095789811990855,D2,CHEMBL217
CHEMBL419505,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1-2,Ki,262.0,6.581698708680255,D2,CHEMBL217
CHEMBL108527,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1Cc1ccccc1-2,Ki,1680.0,5.774690718274137,D2,CHEMBL217
CHEMBL64487,COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,IC50,360.0,6.443697499232712,D2,CHEMBL217
CHEMBL64597,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,IC50,300.0,6.522878745280337,D2,CHEMBL217
CHEMBL67414,CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2ccccc21,Ki,1000.0,6.0,D2,CHEMBL217
CHEMBL291824,Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,IC50,70.0,7.154901959985743,D2,CHEMBL217
CHEMBL110411,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)-c1ccccc1C2,Ki,217.0,6.66354026615147,D2,CHEMBL217
CHEMBL131313,C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccc(O)cc2)C1.CS(=O)(=O)O,EC50,174.0,6.7594507517174005,D2,CHEMBL217
CHEMBL130795,C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccc(O)cc2)C1.CS(=O)(=O)O,EC50,122.0,6.913640169325252,D2,CHEMBL217
CHEMBL330108,O=C1Cc2c(ccc(Cl)c2N2CCN(Cc3ccccc3)CC2)N1,Ki,540.0,6.267606240177031,D2,CHEMBL217
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,Ki,113.0,6.94692155651658,D2,CHEMBL217
CHEMBL267562,Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc(Cl)c(Cl)c2)c2ccc(F)cc2)cc1,Ki,625.0,6.204119982655925,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.071,10.148741651280924,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,196.0,6.707743928643524,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.122,9.913640169325252,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,246.0,6.609064892896621,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.031,10.508638306165729,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,168.0,6.774690718274137,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,0.064,10.193820026016112,D2,CHEMBL217
CHEMBL156164,NC(=O)C1CCS[C@@H]2C[C@]3(CCCN3C(=O)[C@@H]3CCCN3)C(=O)N12,Ki,202.0,6.694648630553376,D2,CHEMBL217
CHEMBL292759,COc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1N1CCN(C)CC1,Ki,3981.07,5.40000018605658,D2,CHEMBL217
CHEMBL301242,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2=O,Ki,89.0,7.050609993355087,D2,CHEMBL217
CHEMBL59942,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,IC50,49.0,7.309803919971486,D2,CHEMBL217
CHEMBL29846,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCN(C)CC1,Ki,794.33,6.0999990348465305,D2,CHEMBL217
CHEMBL61657,Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1,IC50,60.0,7.221848749616356,D2,CHEMBL217
CHEMBL352207,O=C1C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2cccc3c2N1CC3,Ki,116.0,6.935542010773082,D2,CHEMBL217
CHEMBL352207,O=C1C(N2CCN(Cc3ccc(Cl)cc3)CC2)CCc2cccc3c2N1CC3,Ki,62.0,7.207608310501746,D2,CHEMBL217
CHEMBL310310,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2,Ki,1740.0,5.7594507517174005,D2,CHEMBL217
CHEMBL108637,O=C(NCCCN1CCN(c2ccccc2)CC1)c1ccc2c(c1)Cc1ccccc1-2,Ki,825.0,6.0835460514500745,D2,CHEMBL217
CHEMBL67750,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,Ki,2570.0,5.590066876668706,D2,CHEMBL217
